id,Oct_19,Nov_19,Dec_19,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,AnAv_1920
Albertson_NY,0.3653846,0.2075472,0.0990099,-0.02040816,-0.04210526,-0.1078431,-0.3057851,-0.4328358,-0.4755245,-0.3286713,-0.1879195,-0.09333333,-0.07042254,-0.1171875,-0.2072072,-0.209102956
Allendale_NJ,-0.2071006,-0.245509,-0.26,-0.248062,-0.1709402,-0.1229508,-0.189781,-0.2611465,-0.2881356,-0.2336957,-0.2011834,-0.1390728,-0.141791,-0.1904762,-0.2882883,-0.208868158
Alpine_NJ,0.03921569,0.02054795,-0.01481481,-0.04032258,-0.06779661,-0.1416667,-0.2748092,-0.3835616,-0.4223602,-0.3630952,-0.3053892,-0.3072289,-0.3253161,-0.3203725,-0.2726997,-0.280556709
Amagansett_NY,0.1183879,0.1391076,0.1504178,0.1517857,0.0754717,-0.04938272,-0.302139,-0.37,-0.3970944,-0.3055556,-0.3067633,-0.3364055,-0.3648649,-0.3870968,-0.4285714,-0.2695745
Amityville_NY,0.006802721,0.0245614,-0.09375,-0.1609589,-0.2421384,-0.242515,-0.2719033,-0.3003003,-0.2831325,-0.2282282,-0.1074919,-0.1133333,-0.1114865,-0.1678082,-0.1570881,-0.202467109
Ansonia_CT,0.1304348,0.1656442,0.09027778,0.1269841,0.05042017,0.09401709,-0.04477612,-0.1708861,-0.2905028,-0.3910891,-0.453271,-0.5044248,-0.4842816,-0.4160657,-0.3204459,-0.281819253
Ardsley_NY,-0.05172414,-0.07476636,-0.09473684,-0.1234568,-0.195122,-0.16,-0.2213115,-0.2657343,-0.3544304,-0.3481013,-0.3125,-0.1916667,-0.07272727,0.03030303,0.06976744,-0.203136152
Atlantic Beach_NY,0.3625,0.4158879,0.345,0.2058824,0.1960784,0.2169811,0.09482759,-0.1785714,-0.3478261,-0.4124294,-0.3876404,-0.3542857,-0.3088685,-0.2937294,-0.33829,-0.205391129
Atlantic Highlands_NJ,0.07582938,0.09278351,-0.02083333,-0.1420765,-0.2967033,-0.3930348,-0.4411765,-0.3728448,-0.2611607,-0.1971831,-0.227907,-0.2694064,-0.2995595,-0.2735849,-0.3085106,-0.292212973
Avon_CT,0.04173913,-0.02831858,-0.06095238,-0.07172131,-0.04516129,-0.03781513,-0.1031746,-0.2326821,-0.3586098,-0.3950073,-0.3973607,-0.37014,-0.360601,-0.3642987,-0.3711968,-0.274645823
Babylon_NY,-0.02949853,-0.03225806,-0.0790378,-0.1198502,-0.1278195,-0.1291513,-0.1654676,-0.2222222,-0.2233333,-0.1792453,-0.1480363,-0.1711712,-0.2036474,-0.1866667,-0.1828358,-0.172724717
Baldwin_NY,-0.1216931,-0.1472727,-0.1362764,-0.125498,-0.048583,0.01744186,-0.02747253,-0.1294719,-0.171381,-0.1305085,-0.09498208,-0.1173077,-0.2068273,-0.2771855,-0.3733333,-0.136471347
Barkhamsted_CT,0.05714286,-0.04225352,-0.04918033,0.1509434,0.3777778,0.4318182,0.1914894,0.01818182,-0.1,-0.1282051,-0.1219512,-0.164557,-0.1081081,-0.2058824,-0.2586207,-0.030544449
Barnegat Light_NJ,0.007462687,-0.04651163,-0.1507937,-0.1652893,-0.203125,-0.2248062,-0.2923077,-0.3333333,-0.4,-0.4504505,-0.6,-0.6492537,-0.6740741,-0.699187,-0.7196262,-0.449186996
Barnegat Township_NJ,-0.07364341,-0.07707911,-0.09281768,-0.07932692,-0.01033592,-0.002557545,-0.1233211,-0.2576271,-0.3584305,-0.3319283,-0.3602484,-0.3409802,-0.3587866,-0.3527473,-0.3544458,-0.25368067
Bayonne_NJ,0.1927711,0.1445783,0.05246914,0.0192926,0.01655629,-0.1114551,-0.2209302,-0.3233696,-0.2804233,-0.3,-0.2555831,-0.2608696,-0.1792929,-0.1710526,-0.1730205,-0.195412941
Bayville_NY,-0.05164319,-0.07142857,-0.1116505,-0.1597938,-0.1648352,-0.1777778,-0.1861702,-0.1897436,-0.1764706,-0.1516588,-0.1595238,-0.2235577,-0.3391089,-0.4051282,-0.4754098,-0.232780609
Beachwood_NJ,-0.1312057,-0.08745247,-0.1428571,-0.1552511,-0.1863636,-0.215859,-0.3319328,-0.446281,-0.492126,-0.4325397,-0.3643725,-0.3493976,-0.3510204,-0.3833333,-0.3529412,-0.342615438
Beacon_NY,0.4494774,0.4723247,0.5714286,0.4904762,0.4585366,0.3524229,0.3266129,0.234657,0.3186441,0.3407643,0.3043478,0.1989101,0.004807692,-0.02255639,-0.04812834,0.211313511
Beacon Falls_CT,0.4545455,0.5867769,0.5585586,0.4411765,0.2040816,0.07142857,-0.09803922,-0.2295082,-0.3426573,-0.4355828,-0.4583333,-0.5384615,-0.546875,-0.5677083,-0.5433526,-0.327953921
Bedminster Township_NJ,-0.04444444,0.04150943,0.107438,0.1565217,0.1872146,0.1004184,-0.0513834,-0.2135231,-0.2779661,-0.2240803,-0.04379562,0.1124031,0.1666667,0.01086957,-0.05970149,-0.023492083
Beekman_NY,-0.2473684,-0.2111801,-0.1145038,0.009259259,0.09259259,0.105042,0.1046512,0.05597015,-0.02112676,-0.02666667,-0.0443038,0,-0.06293706,-0.1653543,-0.2931034,-0.021135691
Belleville_NJ,0.1507937,0.2,0.2993631,0.2251656,0.07210031,-0.0368272,-0.1592689,-0.2603406,-0.3186813,-0.2866109,-0.23125,-0.1498881,-0.1218391,-0.1431925,-0.1936275,-0.151725604
Bellmore_NY,-0.01574803,-0.0969697,-0.2,-0.2650862,-0.2192982,-0.1260684,-0.09071274,-0.1228814,-0.1621622,-0.1712062,-0.1493384,-0.1252372,-0.076,-0.05592841,-0.05208333,-0.136020989
Bellport_NY,-0.01293103,0.0462963,0.05555556,0.07734807,0.1234568,0.1298701,0.0516129,-0.1485714,-0.25,-0.3047619,-0.3179724,-0.32,-0.3028705,-0.2284459,-0.1680225,-0.159941331
Bergenfield_NJ,-0.06865672,-0.1042945,-0.08163265,-0.08712121,-0.1338583,-0.2266187,-0.3419355,-0.3913043,-0.3428571,-0.2539185,-0.2583587,-0.3058104,-0.3301282,-0.3116438,-0.3037037,-0.278953194
Berkeley Heights_NJ,-0.09187279,-0.1397849,-0.2226415,-0.2650602,-0.25,-0.2328244,-0.2789855,-0.2795699,-0.2122302,-0.1074074,-0.07924528,-0.1330798,-0.1750973,-0.2333333,-0.2475728,-0.206974503
Berkeley Township_NJ,-0.04233871,-0.07660962,-0.1375527,-0.1730938,-0.1767105,-0.2087227,-0.2716915,-0.330494,-0.3731899,-0.3787007,-0.4073463,-0.4191542,-0.4437895,-0.4730803,-0.5132094,-0.347791596
Berlin_CT,-0.03399433,-0.0878187,-0.1432836,-0.1153846,-0.0505618,-0.04681648,-0.1458333,-0.2925373,-0.3559783,-0.398977,-0.397878,-0.3808219,-0.3167155,-0.3012422,-0.3066202,-0.273739502
Berlin_NJ,-0.2664975,-0.265625,-0.3074866,-0.3040936,-0.2147436,-0.1495017,-0.1827243,-0.2912621,-0.3051948,-0.3642173,-0.3876221,-0.4646465,-0.4837651,-0.5343315,-0.5697024,-0.349183002
Bernardsville_NJ,0.2434211,0.2881356,0.3188406,0.2042254,0.08496732,-0.01445087,-0.05540166,-0.09375,-0.1142132,-0.1116751,-0.08684211,-0.1037234,-0.1666667,-0.2552632,-0.3461538,-0.097538385
Bethany_CT,-0.2777778,-0.2824859,-0.2732919,-0.2112676,-0.175,-0.1517857,-0.2540984,-0.3146853,-0.3246753,-0.3006536,-0.2269504,-0.2877698,-0.2846154,-0.3543307,-0.3846154,-0.274374986
Bethel_CT,0.07512953,0.1253333,0.06321839,0.003095975,0.0952381,0.1474359,0.0739645,-0.08421053,-0.1699507,-0.1435644,-0.1227621,-0.1323155,-0.2216867,-0.3270142,-0.3783784,-0.118929919
Bethel_NY,0.1160494,0.01745636,-0.06940874,-0.1266846,-0.0994152,-0.05309735,-0.05182073,-0.08678756,-0.1256098,-0.1448598,-0.1548673,-0.1961207,-0.2389381,-0.245098,-0.2375691,-0.150807083
Bethlehem_CT,-0.05982906,-0.08333333,-0.13,-0.155914,-0.1593407,-0.1223404,-0.1442308,-0.1271186,-0.1439394,-0.1461538,-0.192,-0.1754386,-0.1818182,-0.1818182,-0.1609195,-0.157671536
Bethlehem Township_NJ,-0.1824324,-0.1785714,-0.234375,-0.2894737,-0.2352941,-0.1458333,-0.09782609,-0.1714286,-0.2295082,-0.2713178,-0.312,-0.2758621,-0.2892562,-0.2869565,-0.2857143,-0.245692916
Bethpage_NY,0.4134615,0.3454545,0.3119266,0.1741071,0.1145374,-0.01214575,-0.1086957,-0.1543624,-0.06354515,0.05902778,0.1304348,-0.01393728,-0.1972789,-0.3209459,-0.3951049,-0.075803493
Bloomfield_NJ,-0.1686183,-0.1966825,-0.2644836,-0.2231884,-0.15,-0.08206687,-0.1994382,-0.3172589,-0.2933985,-0.1179487,0.1357341,0.1896552,0.1549296,0.07079646,0.1061644,-0.068192401
