geoid,geolbl,Oct_19,Nov_19,Dec_19,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20
9001,Fairfield,-0.043563186,-0.044172002,-0.048466817,-0.049158996,-0.041299602,-0.040992047,-0.049448583,-0.051171732,-0.009703329,0.042149581,0.082171145,0.08410953,0.080448813,0.068207311,0.067628272
9005,Litchfield,0.067778635,0.078561789,0.081218762,0.092306224,0.101364895,0.102180219,0.090550096,0.084828711,0.108471169,0.155935614,0.193639512,0.21536376,0.22248307,0.227902404,0.251577918
9009,New Haven,-0.026104418,-0.026409191,-0.014996673,-0.010485718,-0.004579969,-0.009297399,-0.013718989,-0.0012307,0.027620002,0.065519339,0.099439339,0.119264033,0.131413675,0.125914378,0.114488961
36059,Nassau,0.011425082,0.026705424,0.040841964,0.052115067,0.057304595,0.055954825,0.035210765,0.01420069,0.004763247,0.012523786,0.03073122,0.055392157,0.081492391,0.097154073,0.10201133
36103,Suffolk,0.084127874,0.083472454,0.083472454,0.070116861,0.031719533,0.014941893,-0.002727769,-0.000839699,-0.02483308,-0.021575555,0.005237569,0.04435739,0.069787894,0.082034841,0.087477521
36079,Putnam,-0.04858209,-0.06095026,-0.051451973,-0.056861259,-0.046600458,-0.060168841,-0.05209444,-0.051784226,-0.02370013,-0.012308048,0.03145098,0.067007874,0.105263158,0.132895881,0.148441871
36087,Rockland,-0.015486038,-0.009969277,-0.003732051,0.001972136,0.012819872,0.025739382,0.034748391,0.028150992,0.017845762,0.019695044,0.029132362,0.039797852,0.041692988,0.054464851,0.069206286
36119,Westchester,0.001599684,0.005764135,0.021462824,0.026300743,0.026488503,0.004593206,-0.01953125,-0.043993232,-0.052653749,-0.048759624,-0.041520979,-0.046708185,-0.050291611,-0.06432775,-0.079808523
36027,Dutchess,0.04400767,0.068731849,0.098135427,0.115498519,0.129318855,0.122677303,0.111227802,0.099775155,0.108438228,0.116398175,0.130349833,0.161326172,0.18851565,0.186114045,0.161648676
36071,Orange,0.074229056,0.093765744,0.118694362,0.132125792,0.120672601,0.113309547,0.102662,0.106158664,0.094347379,0.076853069,0.074108485,0.089395951,0.112539215,0.110138888,0.083505158
36105,Sullivan,0.016725205,0.03512293,0.056951424,0.040201005,0.030185497,0.01663837,0.016612985,0.023365271,0.056852284,0.12354118,0.192217769,0.249832999,0.265236275,0.269379253,0.256051273
36111,Ulster,0.097951197,0.067671468,0.048715039,0.042869097,0.066182405,0.093116943,0.110370711,0.116060497,0.103529331,0.088004246,0.085158376,0.107893972,0.14676486,0.208673671,0.255876332
34003,Bergen,0.076497271,0.07452785,0.064496383,0.059846748,0.067117848,0.065877537,0.050188883,0.023121387,0.007759959,0.011045161,0.018308766,0.013087148,-0.002109166,-0.00936646,-0.002038842
34013,Essex,0.013037259,0.030279253,0.048008554,0.03949081,0.071283322,0.10698702,0.165819284,0.194881074,0.233341617,0.264256165,0.297443518,0.294104259,0.27311133,0.250173451,0.093361516
34017,Hudson,-0.030697563,-0.035937036,-0.026554013,-0.014285714,-0.005012376,-0.003121787,-0.022719738,-0.035394079,-0.030637261,0.005921543,0.051612903,0.076833025,0.070794824,0.046149107,0.024798512
