id,Jan_19,Feb_19,Mar_19,Apr_19,May_19,Jun_19,Jul_19,Aug_19,Sep_19,Oct_19,Nov_19,Dec_19,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20
Albertson_NY,952333.3333,971000,964333.3,937629.3,898962.7,872296,841000,831000,864333.3,919000,955666.7,959000,959000,954333.3,934333.3,914333.3,882333.3,865666.7,832333.3,842666.3,852999.3,882666,872666.3,879000
Allendale_NJ,863266.6667,861600,854300,850833.3,852500,864833.3,873333.3,885000,873300,844633.3,812300,791666.7,757000,757000,754000,754000,713000,716333.3,761333.3,836166.7,834833.3,791166.7,727666.7,689333.3
Alpine_NJ,3492666.667,3659333,3710667,3708333,3541667,3488000,3488000,3488000,3442000,3421000,3400000,3425000,3446000,3467000,3488000,3321333,3308000,3432000,3732296,3879259,3890925,3844629,3815000,3679333
Amagansett_NY,2811666.667,2713000,2548000,2429667,2395000,2380000,2346667,2346667,2396667,2496667,2563333,2595000,2646667,2680000,2814667,2814667,2814667,2780000,2861667,2996667,2998333,2998333,2896667,2861667
Amityville_NY,394266.6667,397933.3,406666.7,421333.3,434333.3,432666.7,429333.3,426000,421000,413000,408333.3,406333.3,401333.3,402666.7,419663.3,439663.3,449993.3,448296.7,441626.7,441296.7,445996.7,452666.3,469633,492966.3
Andover_CT,411332.6545,413475.7,413475.7,413475.7,419904.8,411332.7,386730.7,353556.6,340312.7,341341.4,353085.2,365943.3,387180.7,404325,407968.1,414590.1,401731.9,398474.5,377044.2,368472.1,359900,359900,354933.3,351600
Ansonia_CT,214900,213233.3,218266.7,222633.3,225666.7,223966.7,222933.3,223233.3,221600,224133.3,220800,219100,217933.3,224300,225666.7,219000,208666.7,210666.7,221666.7,235000,242983.3,248950,252950,256600
Ardsley_NY,780000,793000,816000,842333.3,854333.3,854333.3,824666.7,776000,736333.3,729333.3,737666.7,766000,782666.7,797666.7,784333.3,787666.7,803666.7,823666.7,850666.3,867999.7,892666.3,915966.7,941300,1061300
Atlantic Beach_NY,1126000,1108667,1099000,1015666,1016333,1014666,994999.3,977999.7,976332.7,977999.7,1028333,1056667,1058000,1049667,1089958,1206625,1247958,1279000,1295667,1329000,1299000,1216000,1133000,1133000
Atlantic Highlands_NJ,576266.6667,604933.3,617966.7,601300,566266.7,549600,535966.7,534333.3,534333.3,551300,559300,585966.7,592333.3,621333.3,623332.3,600332.3,571332.3,559633.3,582933.3,616566.7,649900,696266.7,712933.3,762933.3
Avon_CT,379966.6667,386633.3,398266.7,414900,407266.7,398966.7,379000,376300,381266.7,392900,399900,402933.3,402933.3,402933.3,399900,416566.7,449900,483233.3,498266.7,491600,474633.3,457783.3,444450,431416.7
Avon by the Sea_NJ,2196333.333,2062667,1949000,1949000,1949000,1990817,2074450,2088117,1929967,1661667,1481667,1460000,1506667,1640000,1703333,1791333,1741000,1765667,1696000,1728000,1628000,1597667,1316000,1133000
Babylon_NY,497999.6667,504333.3,519666.7,544663.3,557996.7,566296.7,569300,575966.7,584333.3,589666.7,588333.3,588333.3,589966.7,604669.3,614666,631032.7,641329.7,649333,632996.3,632663.3,639330,669000,669000,662666.7
Baldwin_NY,475666.6667,472000,468333.3,475000,482000,487666.7,484333.3,479633.3,477966.7,477966.7,479333.3,482666.7,488000,491666.7,494666.7,496000,499000,499000,505666.3,513999.7,520666.3,520666.7,522333.3,525999.7
Baldwin_NY,126096.4912,151754.4,162500,149671.1,124013.2,98355.26,85526.32,85526.32,85526.32,96008.77,113289.5,137368.4,150964.9,157763.2,143991.2,119912.3,95833.33,85526.32,85526.32,85526.32,98684.21,111842.1,112833.3,100666.7
Barkhamsted_CT,349304.2545,350881.9,344871.7,356140.8,360160.1,371429.2,371429.2,358282,345510.3,336532.6,345923.5,347426.1,348928.6,341077.8,364930.7,398362.4,455045.9,465000.3,425934.1,363991.6,321169.1,313656.4,314233.3,319266.7
Barnegat Light_NJ,883666.6667,888666.7,887633.3,886600,881600,878300,859666.7,844333.3,819000,809000,807600,829600,838200,829900,808200,799900,799900,799900,807933.3,836800,886500,930000,954500,958166.7
Barnegat Township_NJ,268100,266566.7,268266.7,273300,276633.3,289963.3,310897.7,330897.7,337534.3,337600,335933.3,337600,334900,333233.3,332498.3,334653.3,335475,334910,334121.7,336633.3,346296.7,353296.7,349963.3,351300
Bayonne_NJ,401897.4945,390754.3,382582.6,380725.4,384254.1,389825.7,389788.6,389602.8,396660.2,403754.7,409697.7,409697.7,411889.2,415603.2,419317.6,415194.7,405500.5,390642.9,381802.2,382210.8,386259.5,389937.1,399600,402633.3
Bayville_NY,742333.3333,742333.3,735666.7,724333.3,714666.3,704999.7,709666.3,709666.7,718000,734666.7,767666.7,765666.7,739000,731000,757666.7,791000,805666.7,805666.7,806000,816000,826333,819333,782999.7,753000
Beachwood_NJ,251666.6667,252300,256300,259966.7,266666.3,264999.7,271333,274666.7,287666.7,294333.3,299000,299300,296133.3,292433.3,287466.7,285966.7,285000,286633.3,296633.3,306633.3,315000,309966.7,298266.7,286266.7
Beacon_NY,343000,347633.3,348266.7,351600,351600,366633.3,364633.3,372966.7,374600,374900,382758.3,388950,402780,411121.7,416630,429500,449238.3,477238.3,495583.3,517678.3,527153.3,533808.3,522475,518333.3
Beacon Falls_CT,339933.3333,348300,359966.7,371633.3,366600,361566.7,349900,361566.7,369933.3,378300,375000,373000,369666.7,366300,371600,378233.3,384900,373233.3,361566.7,344133.3,327166.7,313533.3,305666.7,309000
Beaverdam Lake-Salisbury Mills_NY,213616.6667,212100,207933.3,291566.7,356566.7,399900,386266.7,361133.3,357500,357833.3,356333.3,353000,324666.7,355833.3,382833.3,414500,403300,383300,346600,343266.7,361600,401300,404333.3,382333.3
