id,Oct_19,Nov_19,Dec_19,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20
Albertson_NY,0.02224694,0.04749726,0.03229279,0.00700035,-0.01716444,-0.03110957,-0.02484564,-0.01849836,-0.007599867,-0.01030519,0.01403891,-0.013113,-0.03953645,-0.08685072,-0.08342023
Allendale_NJ,0.01885806,-0.01658596,-0.04576319,-0.1230983,-0.121402,-0.1174061,-0.11381,-0.1636364,-0.1717094,-0.1282443,-0.05517891,-0.04404748,-0.06330163,-0.1041897,-0.1292632
Alpine_NJ,-0.02070611,-0.01809781,-0.01514425,-0.01336133,-0.05255966,-0.06000719,-0.1043596,-0.06597647,-0.01605505,0.07003899,0.1121728,0.1304257,0.123832,0.1220588,0.07425791
Amagansett_NY,-0.1046025,-0.08288611,-0.08195755,-0.05868405,-0.01216366,0.1046572,0.158458,0.1752262,0.1680672,0.2194602,0.2769886,0.2510431,0.2009346,0.130039,0.1027617
Amityville_NY,0.05357143,0.05060034,0.04384312,0.01792357,0.01189479,0.03195902,0.04350475,0.03605526,0.03612481,0.02863354,0.03590767,0.05937451,0.09604439,0.1501216,0.2132067
Andover_CT,-0.2888016,-0.2262609,-0.1544023,-0.05871627,-0.02213123,-0.0133202,0.002695138,-0.04327855,-0.03125977,-0.0250471,0.04218693,0.05755668,0.05436966,0.005234318,-0.03919551
Ansonia_CT,-0.005913661,-0.002860154,0.01169771,0.01411509,0.05189933,0.03390348,-0.01631981,-0.07533235,-0.05938384,-0.005681818,0.05271017,0.09649519,0.1107228,0.1456069,0.1711547
Ardsley_NY,-0.2120994,-0.1415826,-0.04210088,0.003418803,0.005884826,-0.03880719,-0.06489909,-0.0593055,-0.03589544,0.03152749,0.1185563,0.2123128,0.2558958,0.2760506,0.3855091
Atlantic Beach_NY,-0.1041224,-0.03593781,0.01310323,-0.06039076,-0.05321708,-0.008226875,0.1880132,0.2279034,0.2605129,0.3021784,0.3588962,0.3304891,0.2433542,0.1017832,0.07223975
Atlantic Highlands_NJ,-0.03837432,0.01145337,0.05339166,0.02788061,0.02711043,0.008682777,-0.001609291,0.008945726,0.0182557,0.08762983,0.1538989,0.216282,0.2629542,0.2746886,0.3020081
Avon_CT,-0.01610936,0.009933496,0.0385772,0.0604439,0.04215881,0.004101105,0.004017032,0.1046816,0.2112123,0.3146878,0.3064045,0.2448855,0.1651396,0.1114029,0.07068994
Avon by the Sea_NJ,-0.2389312,-0.3365671,-0.3733906,-0.3140082,-0.2049127,-0.1260475,-0.08089619,-0.1067214,-0.1130943,-0.1824339,-0.17246,-0.1564621,-0.03851555,-0.111811,-0.2239726
Babylon_NY,0.1449853,0.176669,0.1774532,0.1846728,0.1989478,0.1828082,0.1585738,0.1493432,0.1466304,0.1118854,0.09843741,0.09411865,0.1345393,0.1371105,0.1263456
Baldwin_NY,-0.0158545,-0.01304049,0.000691085,0.02592852,0.04166667,0.05622776,0.04421053,0.03526971,0.02323992,0.04404611,0.07165126,0.08933608,0.08933677,0.08970793,0.08977831
Baldwin_NY,0.09614422,0.3259754,0.3682831,0.1972174,0.03959538,-0.1139001,-0.1988278,-0.2272325,-0.1304348,0,0,0.1538462,0.1649155,-0.004026326,-0.2671775
Barkhamsted_CT,-0.01516984,0.006668124,0.005435373,-0.001075384,-0.02794133,0.0581636,0.1185529,0.2634543,0.2519215,0.1467435,0.01593625,-0.0704501,-0.06797634,-0.0916104,-0.0810515
Barnegat Light_NJ,-0.07118255,-0.08157695,-0.056558,-0.05145228,-0.06612903,-0.0894889,-0.09778931,-0.09267241,-0.08926335,-0.06017836,-0.008922227,0.08241758,0.1495674,0.181897,0.1549743
Barnegat Township_NJ,0.2018441,0.2168485,0.2361772,0.2491608,0.2500938,0.2394322,0.2244908,0.2127064,0.1550081,0.07469982,0.01733366,0.02595983,0.04649487,0.04176424,0.04058057
Bayonne_NJ,-0.05478261,-0.02819383,0.005469462,0.02486137,0.06359221,0.09601845,0.09053561,0.05529241,0.002096236,-0.02048885,-0.01897321,-0.02622062,-0.03422263,-0.02464676,-0.01724293
Bayville_NY,-0.05285776,0.01141853,0.02225189,-0.004490346,-0.01526718,0.02990485,0.09203866,0.1273326,0.1427901,0.135745,0.1498356,0.1508816,0.1152446,0.01997351,-0.01654332
Beachwood_NJ,0.1689187,0.1827532,0.1791202,0.1766887,0.1590699,0.1216023,0.1000128,0.06875134,0.08163658,0.09324459,0.1163835,0.09501738,0.05311438,-0.00245262,-0.04354605
Beacon_NY,0.08258735,0.1202683,0.1598907,0.1742857,0.1826302,0.1962959,0.2215586,0.2776972,0.3016774,0.3591279,0.3880016,0.4072433,0.4238686,0.3650258,0.3326477
Beacon Falls_CT,0.04147931,0.06665402,0.1081402,0.08746813,0.05167959,0.03231781,0.01775944,0.04991817,0.03226699,0.03334286,-0.0482161,-0.1156064,-0.1712045,-0.1848889,-0.1715818
Beaverdam Lake-Salisbury Mills_NY,0.2952461,0.4862704,0.5090844,0.5198564,0.6776678,0.841135,0.4216303,0.1310648,-0.04151038,-0.1026924,-0.04947388,0.01146853,0.1214718,0.1347053,0.08309726
Bedminster Township_NJ,0.1107836,0.1098518,0.07332622,0.0987256,0.1235389,0.1736593,0.2242307,0.2987627,0.4254457,0.3896154,0.2679856,0.09381443,0.002108987,-0.02938491,-0.01433501
Beekman_NY,0.0673915,0.04306178,0.04328614,0.08342023,0.1360835,0.1037383,0.04003481,0.007270377,0.03588803,0.08923547,0.1417148,0.2187895,0.2410556,0.2169096,0.1940963
