id,Tot_19,Tot_20,Tot_Ch,Tot_PCh
Amityville_NY,318.9999867,298,-20.99998667,-0.065830682
Avon_CT,397.83334,518.66666,120.83332,0.303728491
Babylon_NY,238.49999,227.83333,-10.66666,-0.044723943
Baldwin_NY,404.0000167,313.66668,-90.33333667,-0.223597359
Barnegat Township_NJ,886.8333333,848.33338,-38.49995333,-0.04341284
Bayonne_NJ,411.6666833,343.33333,-68.33335333,-0.165991945
Beachwood_NJ,236.33334,224.83334,-11.5,-0.048660083
Beacon_NY,197.66666,224,26.33334,0.133220949
Bedminster Township_NJ,252.8333433,212.33333,-40.50001333,-0.160184621
Belleville_NJ,435,420.33332,-14.66668,-0.033716506
Bellmore_NY,368.66666,324.33334,-44.33332,-0.120253131
Bergenfield_NJ,301.3333267,278.50001,-22.83331667,-0.075774283
Berkeley Township_NJ,1717.3333,1619.3333,-98,-0.057065218
Berlin_CT,298.3333333,272,-26.33333333,-0.088268156
Berlin_NJ,277.0000067,270.66667,-6.333336667,-0.022864031
Bethel_CT,333.3333367,387.99999,54.66665333,0.163999958
Bethpage_NY,241.4999867,210.5,-30.99998667,-0.128364341
Bloomfield_NJ,514,472.66666,-41.33334,-0.080415058
Bloomfield_CT,332.00002,393.00001,60.99999,0.183734899
Blooming Grove Township_PA,532.3333267,597.66666,65.33333333,0.122730121
Boonton_NJ,223.3333433,233.33332,9.999976667,0.044776013
Branchburg Township_NJ,357.00001,355.33333,-1.66668,-0.004668571
Branford_CT,535.66666,642.66667,107.00001,0.19975111
Brick Township_NJ,1565.999933,1581.3333,15.33336667,0.009791422
Bridgeport_CT,1164.833333,1055.66671,-109.1666233,-0.093718664
Bridgewater Township_NJ,1136.999963,1056.33333,-80.66663333,-0.070946909
Bristol_CT,896.6666867,1028.3333,131.6666133,0.146840086
Brookfield_CT,323.3333333,404.33333,80.99999667,0.250515454
Budd Lake_NJ,239.6666667,212.5,-27.16666667,-0.113351878
Canton_CT,207.0000097,230.99998,23.99997033,0.11594188
Carteret_NJ,228.9999967,225.66668,-3.333316667,-0.014555968
Cedar Grove_NJ,215.0000033,333.66666,118.6666567,0.551937929
Centereach_NY,417,398.00001,-18.99999,-0.045563525
Chatham Township_NJ,347.3333167,388.66666,41.33334333,0.119001954
Cheshire_CT,400.83333,440.83334,40.00001,0.099792126
Clark_NJ,229.33335,258.33333,28.99998,0.126453392
Cliffside Park_NJ,356.8333233,344.99999,-11.83333333,-0.033162075
Clifton_NJ,999.6667033,804.99996,-194.6667433,-0.194731647
Clinton_CT,242.6666767,296.33332,53.66664333,0.221153741
Clinton Township_NJ,261.6666633,337.5,75.83333667,0.289808934
Colchester_CT,245.6666667,251.00001,5.333343333,0.021709674
Colonia_NJ,492.33334,440.66668,-51.66666,-0.104942436
Commack_NY,419.6666733,374.33334,-45.33333333,-0.108022238
Copiague_NY,305.66665,239.33331,-66.33334,-0.217012029
Coram_NY,520.0000033,459.66666,-60.33334333,-0.11602566
Cortlandt Manor_NY,358.0000033,310.49998,-47.50002333,-0.132681628
Coventry_CT,205.6666767,227.99999,22.33331333,0.108589849
Cranford_NJ,362.6666633,380.66665,17.99998667,0.049632317
Cromwell_CT,280.1666667,298.33332,18.16665333,0.064842308
Danbury_CT,941.0000267,1062.16671,121.1666833,0.128763741
Darien_CT,326.3333433,463.33332,136.9999767,0.419816055
Deer Park_NY,362.0000133,342.33334,-19.66667333,-0.054327825
Delaware Township_PA,266.00001,299.33333,33.33332,0.125313228
Denville Township_NJ,292.66668,297.16667,4.49999,0.015375819
Dingman Township_PA,385.3333367,375,-10.33333667,-0.026816617
Dover_NJ,227.6666633,188.99999,-38.66667333,-0.169838978
Dumont_NJ,209.66667,212.33334,2.66667,0.012718617
East Brunswick_NJ,804.3333367,700.99997,-103.3333667,-0.128470824
East Haddam_CT,188.00001,214.83332,26.83331,0.142730365
East Hampton_NY,427.16666,512.99999,85.83333,0.200936398
East Hampton_CT,231.66667,337.33333,105.66666,0.456115073
East Hartford_CT,621.0000067,622.66667,1.666663333,0.002683838
East Haven_CT,458.0000033,475.66665,17.66664667,0.038573464
East Hills_NY,220.4999967,205.5,-14.99999667,-0.068027197
East Meadow_NY,375.9999833,354.83335,-21.16663333,-0.05629424
East Northport_NY,439.1666733,381.33334,-57.83333333,-0.131688803
East Orange_NJ,574.16666,498.33334,-75.83332,-0.13207545
East Windsor Township_NJ,469.66667,380,-89.66667,-0.190915549
Eastchester_NY,471.33332,471.00001,-0.33331,-0.000707164
Edgewater_NJ,238.8333267,256.99999,18.16666333,0.076064189
Edison_NJ,1359.33326,1116.99996,-242.3333,-0.178273649
Elizabeth_NJ,580.3333267,485.33335,-94.99997667,-0.163698985
Elmont_NY,296.6666667,249.66667,-46.99999667,-0.158426955
Enfield_CT,697.99999,782,84.00001,0.120343856
Englewood_NJ,370.9999867,352.33333,-18.66665667,-0.05031444
Ewing Township_NJ,519.0000033,462.33332,-56.66668333,-0.10918436
Fair Lawn_NJ,537.99999,533.33334,-4.66665,-0.008674071
Fairfield_CT,1026.333367,1309.33343,283.0000633,0.275738929
Farmingdale_NY,341.6666567,294.33333,-47.33332667,-0.13853657
Farmington_CT,466.0000067,574.33333,108.3333233,0.232474939
Farmingville_NY,219.3333167,195.99999,-23.33332667,-0.106382956
Fort Lee_NJ,618.6666667,543.83334,-74.83332667,-0.120959041
Fort Salonga_NY,316.6666667,310.5,-6.166666667,-0.019473684
Franklin Lakes_NJ,226.3333433,207.33332,-19.00002333,-0.08394708
Franklin Township_NJ,981.0000333,854.50001,-126.5000233,-0.12895007
Franklin Township_NJ,303.3333333,285.99999,-17.33334333,-0.05714289
Freehold_NJ,1029.16668,985.83338,-43.3333,-0.04210523
Freeport_NY,490.9999967,373.33334,-117.6666567,-0.23964696
Garden City_NY,260.8333267,240,-20.83332667,-0.079872181
Glastonbury_CT,588.9999967,634.66668,45.66668333,0.07753257
Glen Cove_NY,262.3333167,249.66666,-12.66665667,-0.04828459
Great Neck_NY,539.66666,380.49999,-159.16667,-0.294935155
Greenwich_CT,836.3332933,1099.66667,263.3333767,0.314866548
Griswold_CT,236.3333233,220.99999,-15.33333333,-0.064880116
Groton_CT,540.00001,588.00002,48.00001,0.088888906
Guilford_CT,413.6666567,481.5,67.83334333,0.163980689
Hackensack_NJ,424.3333467,380.66666,-43.66668667,-0.102906564
Hamden_CT,741.0000067,826.66666,85.66665333,0.115609518
Hamilton Township_NJ,1498.3334,1370.66666,-127.66674,-0.085205829
Hamilton Township_NJ,632.6666733,468.83333,-163.8333433,-0.25895681
Hampton Bays_NY,302.0000067,288.33333,-13.66667667,-0.045253895
Hardyston Township_NJ,362.66667,354.66666,-8.00001,-0.022058851
Hartford_CT,451.6666567,408.66667,-42.99998667,-0.095202925
Hawthorne_NJ,249.66667,254.33333,4.66666,0.018691562
Hazlet Township_NJ,271,267.00001,-3.99999,-0.014760111
Hicksville_NY,476.33333,372,-104.33333,-0.219034284
Hillsborough Township_NJ,678.66665,680.33334,1.66669,0.00245583
Hillside_NJ,320.0000067,254.50002,-65.49998667,-0.204687454
Hoboken_NJ,927,956.66673,29.66673,0.032002945
Holmdel Township_NJ,302.3333433,304,1.666656667,0.005512646
Hopatcong_NJ,374,353.66667,-20.33333,-0.054367193
Hopewell Township_NJ,395.66668,421.00002,25.33334,0.064026973
Howell Township_NJ,805.66667,840,34.33333,0.042614807
Hudson_NY,239.66668,182,-57.66668,-0.240612003
Huntington_NY,1699.666567,1643.6667,-55.99986667,-0.03294756
Irvington_NJ,442.0000067,355.33333,-86.66667667,-0.196078451
Jackson Township_NJ,1224.666757,1238.3332,13.66644333,0.011159316
Jefferson Township_NJ,429.9999867,431.33334,1.333353333,0.003100822
Jericho_NY,238.00001,164.66667,-73.33334,-0.308123264
Jersey City_NJ,2358,2042.6667,-315.3333,-0.133729135
Keansburg_NJ,286.6666567,279.99999,-6.666666667,-0.023255815
Kearny_NJ,220.9999933,198.33334,-22.66665333,-0.102564045
Keyport_NJ,368.3333133,362.66667,-5.666643333,-0.015384553
Kings Park_NY,243.00001,224.33335,-18.66666,-0.076817528
Kingston_NY,452.3333233,435.66668,-16.66664333,-0.036845933
Kinnelon_NJ,273.1666567,314.33333,41.16667333,0.150701677
Lacey Township_NJ,627.9999967,553.00001,-74.99998667,-0.119426731
Lake Carmel_NY,446.3333467,464.99999,18.66664333,0.041822202
Lakewood Township_NJ,1517.000067,1332.33327,-184.6667967,-0.121731568
Larchmont_NY,272.6666467,283.5,10.83335333,0.039731128
Lavallette_NJ,300.3333133,273.33333,-26.99998333,-0.089900061
Lawrence Township_NJ,572.0000133,495.33333,-76.66668333,-0.13403266
