id,Oct_19,Nov_19,Dec_19,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20
Amityville_NY,-0.1534653,-0.296875,-0.1129032,-0.04651163,0.2073171,0.3285714,0.04,-0.3058824,-0.5049505,-0.4220183,-0.1886792,0.04444444,0.122807,0.3925926
Avon_CT,0.3333333,0.4712644,0.4939759,0.2692308,0.5,0.6440678,0.6028369,0.3389831,0.1333333,0.07894737,0.1088435,0.2189542,0.3519737,0.5195312
Babylon_NY,-0.09589041,-0.1602564,0.1785714,0.3245614,0.244898,0.05769231,0.07407407,0.06666667,-0.1363636,-0.3690476,-0.3820225,-0.1506849,0.04545455,0.129771
Baldwin_NY,0.2123894,0.1485149,0.02727273,-0.2009346,-0.1,-0.1971154,-0.3111111,-0.5607477,-0.4583333,-0.3451327,-0.199115,-0.2137097,-0.09854015,0.1293103
Barnegat Township_NJ,-0.03142329,0.01754386,0.02691511,-0.004424779,-0.04408353,-0.106383,-0.06112469,-0.07407407,-0.1,-0.2036364,-0.1449275,0,0.1469466,0.09770115
Bayonne_NJ,-0.03174603,-0.008474576,-0.1150442,0.08737864,0.07446809,0,-0.2653061,-0.2772277,-0.3207547,-0.32,-0.3059701,-0.1716418,-0.09016393,-0.1538462
Beachwood_NJ,-0.1,0,-0.02777778,0,-0.04411765,-0.2878788,-0.1052632,-0.1484375,-0.07142857,-0.07258065,-0.08695652,-0.01470588,0.1349206,0.1842105
Beacon_NY,-0.046875,0.02941176,0.02985075,-0.01515152,0.1886792,0.1176471,0.04166667,-0.07526882,-0.125,0.08333333,0.3548387,0.3818182,0.3278689,0.1428571
Bedminster Township_NJ,0.21875,0.1333333,-0.01724138,-0.05172414,-0.2333333,-0.05555556,-0.1290323,0.07407407,-0.2714286,-0.3774834,-0.3551913,-0.2114286,-0.03846154,0.05882353
Belleville_NJ,0.1652893,0.008196721,-0.1294964,-0.1060606,0.1456311,0.2790698,0.04040404,-0.07826087,-0.09166667,-0.1016949,-0.1526718,-0.2116788,-0.04964539,0.1219512
Bellmore_NY,-0.1290323,-0.06956522,0.01020408,-0.03125,-0.16,-0.2095238,-0.2641509,-0.3092784,-0.4123711,-0.1363636,-0.03157895,0.05607477,0.03240741,0.1074766
Bergenfield_NJ,-0.02150538,-0.0625,-0.04301075,0.07228916,0.3026316,0.1842105,0.02777778,-0.2328767,-0.2625,-0.2808989,-0.1569767,-0.1306818,-0.1153846,-0.1666667
